"transaction_date","description","original_description","transaction_amount","transaction_type","category","account_name","labels","notes"
"11/06/2020","Best Buy","Bestbuy Pt 1/4","200.00","debit","Electronics & Software","Venmo","",""
"11/06/2020","To Loan 0002 USED AUTO Mobile Transfer.","To Loan 0002 USED AUTO  Mobile","600.00","debit","Auto Payment","REGULAR SAVINGS","",""
"11/06/2020","USAA FUNDS TRANSFER DB TO ******8658","USAA FUNDS TRANSFER DB TO ******8658","1400.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/06/2020","Giant","GIANT 0781 LAKE RIDGE VA","53.91","debit","Groceries","Signature Visa","",""
"11/06/2020","USAA CREDIT CARD PAYMENT SAN ANTONIO TX","USAA CREDIT CARD PAYMENT SAN ANTONIO TX","1600.00","credit","Credit Card Payment","Signature Visa","",""
"11/06/2020","Venmo","VENMO            PAYMENT    ***********3108 ACH WITHDRAWAL","100.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/06/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR","1400.00","credit","Transfer","USAA CLASSIC CHECKING","",""
"11/06/2020","Usaa","USAA CREDIT CARD PAYMENT CARD ENDING IN 0827","1600.00","debit","Credit Card Payment","USAA CLASSIC CHECKING","",""
"11/04/2020","Storage","Storage","100.00","debit","Mortgage & Rent","Venmo","",""
"11/02/2020","Venmo","VENMO            PAYMENT    ***********9240 ACH WITHDRAWAL","80.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/01/2020","Giant","GIANT 0781 LAKE RIDGE VA","32.39","debit","Groceries","Signature Visa","",""
"10/31/2020","Hotel","Hotel","80.00","debit","Hotel","Venmo","",""
"10/31/2020","Office Depot","Office depot","35.27","debit","Office Supplies","Venmo","",""
"10/31/2020","Pick up","Pick up","45.00","debit","Restaurants","Venmo","",""
"10/31/2020","Cell","Cell","35.00","debit","Mobile Phone","Venmo","",""
"10/31/2020","Oct Cell","Oct Cell","35.00","debit","Kids Activities","Venmo","",""
"10/31/2020","Hotel","Hotel","120.00","debit","Hotel","Venmo","",""
"10/31/2020","Apy Earned","0.050% APY Earned  0.05%","0.05","credit","Income","REGULAR SAVINGS","",""
"10/31/2020","Tiered Rate Apy","Tiered Rate APY Earned  0.20%","0.46","credit","Income","MONEY MARKET","",""
"10/31/2020","McDonald's","MCDONALD'S F37243 BRISTOL TN","5.46","debit","Fast Food","Signature Visa","",""
"10/31/2020","Pilot Travel Center","PILOT_00396 STAUNTON VA","33.80","debit","Gas & Fuel","Signature Visa","",""
"10/31/2020","Exxon","EXXONMOBIL 45335924 KINGSTON TN","38.21","debit","Gas & Fuel","Signature Visa","",""
"10/31/2020","Chipotle","CHIPOTLE 1694 WOODBRIDGE VA","18.71","debit","Fast Food","Signature Visa","",""
"10/30/2020","PHILLIPS 66 - FAMILY MARTTEMPLE TX","PHILLIPS 66 - FAMILY MARTTEMPLE TX","41.88","debit","Gas & Fuel","Signature Visa","",""
"10/30/2020","KOKOS GROCERY STANTON TN","KOKOS GROCERY STANTON TN","27.18","debit","Groceries","Signature Visa","",""
"10/30/2020","THE HENRY PHOENIX AZ","THE HENRY PHOENIX AZ","20.67","debit","Restaurants","Signature Visa","",""
"10/30/2020","RIPPYS BAR AND GRILL NASHVILLE TN","RIPPYS BAR AND GRILL NASHVILLE TN","31.49","debit","Restaurants","Signature Visa","",""
"10/30/2020","Exxon","EXXONMOBIL 48105860 NEW BOSTON TX","31.60","debit","Gas & Fuel","Signature Visa","",""
"10/30/2020","MIDTOWN CORKDORK WINE NASHVILLE TN","MIDTOWN CORKDORK WINE NASHVILLE TN","46.51","debit","Alcohol & Bars","Signature Visa","",""
"10/30/2020","Whataburger","WHATABURGER 717 Q26 SAN ANTONIO TX","14.54","debit","Fast Food","Signature Visa","",""
"10/30/2020","Colorado Grill","COLORADO GRILL HOT SPRINGS AR","68.49","debit","Restaurants","Signature Visa","",""
"10/29/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000027168200","USAA PAYROLL EXT : DIR DEP  ID:","320.00","credit","Paycheck","REGULAR SAVINGS","",""
"10/29/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000027168201","USAA PAYROLL EXT : DIR DEP  ID:","150.00","credit","Paycheck","MONEY MARKET","",""
"10/29/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","1042.65","credit","Paycheck","USAA CLASSIC CHECKING","",""
"10/29/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","300.00","credit","Paycheck","USAA CLASSIC CHECKING","",""
"10/29/2020","Robinhood","ROBINHOOD        Funds      ***********0451 ACH WITHDRAWAL","400.00","debit","Investments","USAA CLASSIC CHECKING","",""
"10/28/2020","PLUCKERS-LANDMARK-RET 5122369110 TX","PLUCKERS-LANDMARK-RET 5122369110 TX","18.93","debit","Shopping","Signature Visa","",""
"10/28/2020","Wal-Mart","WAL-MART #2599 SAN ANTONIO TX","13.93","debit","Groceries","Signature Visa","",""
"10/28/2020","Wal-Mart","WM SUPERCENTER #2599 SAN ANTONIO TX","1.05","debit","Shopping","Signature Visa","",""
"10/28/2020","Whataburger","WHATABURGER 717 Q26 SAN ANTONIO TX","10.70","debit","Fast Food","Signature Visa","",""
"10/28/2020","INTEREST PAID","INTEREST PAID","0.04","credit","Interest Income","USAA CLASSIC CHECKING","",""
"10/27/2020","KFC","KFC E003008 SAN ANTONIO TX","11.89","debit","Fast Food","Signature Visa","",""
"10/27/2020","Take 5 Oil Change","TAKE 5 OIL CHANGE #174 SAN ANTONIO TX","97.87","debit","Gas & Fuel","Signature Visa","",""
"10/27/2020","AutoZone","AUTOZONE #6253 SAN ANTONIO TX","9.73","debit","Service & Parts","Signature Visa","",""
"10/26/2020","POSTMATES 03447 FIVE G HTTPSPOSTMATECA","POSTMATES 03447 FIVE G HTTPSPOSTMATECA","6.35","debit","Restaurants","Signature Visa","",""
"10/26/2020","Lupe Tortilla","LUPE TORTILLA # 20 SAN ANTONIIO TX","71.43","debit","Restaurants","Signature Visa","",""
"10/26/2020","Dunkin Donuts","DUNKIN #356104 SAN ANTONIO TX","5.19","debit","Coffee Shops","Signature Visa","",""
"10/26/2020","Potbelly Sandwich Works","LEVELUPPOTBELLY545815 855-466-5585 MA","25.77","debit","Fast Food","Signature Visa","",""
"10/26/2020","POSTMATES 03447 FIVE G HTTPSPOSTMATECA","POSTMATES 03447 FIVE G HTTPSPOSTMATECA","35.55","debit","Restaurants","Signature Visa","",""
"10/26/2020","Usaa","USAA CREDIT CARD PAYMENT CARD ENDING IN 0827","1700.00","debit","Credit Card Payment","USAA CLASSIC CHECKING","",""
"10/26/2020","Time Warner","TIME WARNER CABL TW CABLE   *********** SPA ACH WITHDRAWAL","112.24","debit","Television","USAA CLASSIC CHECKING","",""
"10/25/2020","SAT AIRPORT PARKING-PR SAN ANTONIO TX","SAT AIRPORT PARKING-PR SAN ANTONIO TX","7.00","debit","Parking","Signature Visa","",""
"10/25/2020","Circle K","CIRCLE K #2741054 SAN ANTONIO TX","18.39","debit","Gas & Fuel","Signature Visa","",""
"10/25/2020","SNOOZE 414 HUEBNER SAN ANTONIO TX","SNOOZE 414 HUEBNER SAN ANTONIO TX","33.61","debit","Restaurants","Signature Visa","",""
"10/24/2020","Hyatt","HYATT PLACE AUSTIN DWTN AUSTIN TX","106.08","debit","Hotel","Signature Visa","",""
"10/24/2020","Circle K","CIRCLE K #2742034 SCHERTZ TX","38.87","debit","Gas & Fuel","Signature Visa","",""
"10/24/2020","H-E-B #389 SAN ANTONIO TX","H-E-B #389 SAN ANTONIO TX","8.98","debit","Groceries","Signature Visa","",""
"10/24/2020","LE CAFE CREPE AUSTIN TX","LE CAFE CREPE AUSTIN TX","32.50","debit","Restaurants","Signature Visa","",""
"10/24/2020","THAI BISTRO and SUSHI 210-5586707 TX","THAI BISTRO and SUSHI 210-5586707 TX","15.10","debit","Restaurants","Signature Visa","",""
"10/24/2020","USAA CREDIT CARD PAYMENT SAN ANTONIO TX","USAA CREDIT CARD PAYMENT SAN ANTONIO TX","1700.00","credit","Credit Card Payment","Signature Visa","",""
"10/24/2020","Amazon","Amazon.com*2T73G18I2 Amzn.com/billWA","49.92","debit","Shopping","Signature Visa","",""
"10/23/2020","Target","TARGET 00033423 AUSTIN TX","12.56","debit","Shopping","Signature Visa","",""
"10/23/2020","LE CAFE CREPE AUSTIN TX","LE CAFE CREPE AUSTIN TX","36.39","debit","Restaurants","Signature Visa","",""
"10/23/2020","Domino's Pizza","DOMINO'S 6617 956-717-5720 TX","21.47","debit","Fast Food","Signature Visa","",""
"10/23/2020","AUSTIN BCYCLE AUSTINBCYCLE.TX","AUSTIN BCYCLE AUSTINBCYCLE.TX","40.71","debit","Business Services","Signature Visa","",""
"10/23/2020","Uber.com","UBER TRIP HELP.UBER.COMCA","12.24","debit","Rental Car & Taxi","Signature Visa","",""
"10/23/2020","DoorDash.com","DOORDASH*GUSS WORLD FA WWW.DOORDASH.CA","13.48","debit","Restaurants","Signature Visa","",""
"10/22/2020","AUSTIN BCYCLE AUSTINBCYCLE.TX","AUSTIN BCYCLE AUSTINBCYCLE.TX","1.09","debit","Business Services","Signature Visa","",""
"10/22/2020","Twin Liquors","TWIN LIQUORS #11 AUSTIN TX","3.02","debit","Alcohol & Bars","Signature Visa","",""
"10/22/2020","Bao'd Up","BAO'D UP WEST CAMPUS AUSTIN TX","27.05","debit","Restaurants","Signature Visa","",""
"10/22/2020","AUSTIN BCYCLE AUSTINBCYCLE.TX","AUSTIN BCYCLE AUSTINBCYCLE.TX","1.09","debit","Business Services","Signature Visa","",""
"10/22/2020","Twin Liquors","TWIN LIQUORS #11 AUSTIN TX","35.70","debit","Alcohol & Bars","Signature Visa","",""
"10/22/2020","COA PARKING METERS AUSTIN TX","COA PARKING METERS AUSTIN TX","2.25","debit","Parking","Signature Visa","",""
"10/22/2020","AUSTIN BCYCLE AUSTINBCYCLE.TX","AUSTIN BCYCLE AUSTINBCYCLE.TX","2.18","debit","Business Services","Signature Visa","",""
"10/22/2020","Hyatt","HYATT PLACE AUSTIN DWTN 5124764440 TX","198.88","debit","Hotel","Signature Visa","",""
"10/21/2020","September Spectrum","September Spectrum","38.23","credit","Income","Venmo","",""
"10/21/2020","September Vivint","September Vivint","54.11","credit","Income","Venmo","",""
"10/21/2020","Cps September","CPS September","84.00","credit","Income","Venmo","",""
"10/21/2020","USAA FUNDS TRANSFER DB TO ******8658","USAA FUNDS TRANSFER DB TO ******8658","2400.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"10/21/2020","QuikTrip","QT 4012 INSIDE SAN ANTONIO TX","7.84","debit","Gas & Fuel","Signature Visa","",""
"10/21/2020","Cheesecake Factory","CHEESECAKE LA CANTERA SAN ANTONIO TX","65.83","debit","Restaurants","Signature Visa","",""
"10/21/2020","CITY PUBLIC SRV CPS BILL ***********7971 ACH WITHDRAWAL","CITY PUBLIC SRV  CPS BILL   ***********7971 ACH WITHDRAWAL","164.45","debit","Utilities","USAA CLASSIC CHECKING","",""
"10/21/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR","2400.00","credit","Transfer","USAA CLASSIC CHECKING","",""
"10/21/2020","AUTOFORTIVA payment AUTOPAY ***********6497 ACH WITHDRAWAL","AUTOFORTIVA PMT  AUTOPAY    ***********6497 ACH WITHDRAWAL","26.19","debit","Bills & Utilities","USAA CLASSIC CHECKING","",""
"10/20/2020","McDonald's","MCDONALD'S F12673 SAN ANTONIO TX","1.08","debit","Fast Food","Signature Visa","",""
"10/20/2020","Exxon","EXXONMOBIL 47889316 WOODBRIDGE VA","5.17","debit","Gas & Fuel","Signature Visa","",""
"10/20/2020","McDonald's","MCDONALD'S F12673 SAN ANTONIO TX","14.58","debit","Fast Food","Signature Visa","",""
"10/19/2020","Netflix","Netflix.com 866-5797172 CA","9.73","debit","Movies & DVDs","Signature Visa","",""
"10/18/2020","Kohl's","KOHL'S #0268 WOODBRIDGE VA CREDIT","25.96","credit","Clothing","Signature Visa","",""
"10/17/2020","Bonchon Woodbridge","BONCHON WOODBRIDGE VA","30.85","debit","Restaurants","Signature Visa","",""
"10/17/2020","Spotify","Spotify USA 877-7781161 NY","10.81","debit","Music","Signature Visa","",""
"10/15/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000024941577","USAA PAYROLL EXT : DIR DEP  ID:","320.00","credit","Paycheck","REGULAR SAVINGS","",""
"10/15/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000024941578","USAA PAYROLL EXT : DIR DEP  ID:","150.00","credit","Paycheck","MONEY MARKET","",""
"10/15/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","300.00","credit","Paycheck","USAA CLASSIC CHECKING","",""
"10/15/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","2051.36","credit","Paycheck","USAA CLASSIC CHECKING","",""
"10/15/2020","BR FACTORY US 6279 WOODBRIDGE VA","BR FACTORY US 6279 WOODBRIDGE VA","42.38","debit","Clothing","Signature Visa","",""
"10/15/2020","Vivint","VIVINT INC/US 800-216-5232 UT","55.71","debit","Home Services","Signature Visa","",""
"10/15/2020","Robinhood","ROBINHOOD        Funds      ***********0451 ACH WITHDRAWAL","500.00","debit","Investments","USAA CLASSIC CHECKING","",""
"10/15/2020","VENMO CASHOUT ***********5893 ACH DEP","VENMO            CASHOUT    ***********5893 ACH DEP","1000.00","credit","Income","USAA CLASSIC CHECKING","",""
"10/14/2020","Transfer To Usaa Federal Savings Bank","Transfer To Usaa Federal Savings Bank","1000.00","debit","Transfer","Venmo","",""
"10/14/2020","Breakfast","Breakfast","15.00","debit","Restaurants","Venmo","",""
"10/14/2020","GOOD STUFF EATERY G'TOWN WASHINGTON DC","GOOD STUFF EATERY G'TOWN WASHINGTON DC","3.09","debit","Restaurants","Signature Visa","",""
"10/14/2020","Lyft","LYFT *RIDE TUE 10AM lyft.com CA","21.50","debit","Rental Car & Taxi","Signature Visa","",""
"10/13/2020","Express Stop","NEWSEXPRESSST2555 SAN ANTONIO TX","21.69","debit","Service & Parts","Signature Visa","",""
"10/13/2020","BRIXX WOOD FIRED PIZZA - WOODBRIDGE VA","BRIXX WOOD FIRED PIZZA - WOODBRIDGE VA","55.90","debit","Restaurants","Signature Visa","",""
"10/12/2020","Bakery Lorraine LLC","SQ *BAKERY LORRAINE AT THSan Antonio TX","32.15","debit","Restaurants","Signature Visa","",""
"10/12/2020","THIRSTY AZTEC 2108756569 TX","THIRSTY AZTEC 2108756569 TX","14.00","debit","Shopping","Signature Visa","",""
"10/12/2020","H-E-B #395 SAN ANTONIO TX","H-E-B #395 SAN ANTONIO TX","9.90","debit","Groceries","Signature Visa","",""
"10/12/2020","RIPLEYS SAN ANTONIO 210-224-9299 TX","RIPLEYS SAN ANTONIO 210-224-9299 TX","75.76","debit","Amusement","Signature Visa","",""
"10/12/2020","McDonald's","MCDONALD'S F12673 SAN ANTONIO TX","11.14","debit","Fast Food","Signature Visa","",""
"10/12/2020","Chick-Fil-A","CHICK-FIL-A #00680 210-699-6100 TX","15.61","debit","Fast Food","Signature Visa","",""
"10/11/2020","GO RIO SAN ANTONIO San Antonio TX","GO RIO SAN ANTONIO San Antonio TX","27.06","debit","Restaurants","Signature Visa","",""
"10/11/2020","parkreceipts.com T 844-445-0485 TX","parkreceipts.com T 844-445-0485 TX","5.75","debit","Business Services","Signature Visa","",""
"10/11/2020","ALAMO BISCUIT COMPANY SAN ANTONIO TX","ALAMO BISCUIT COMPANY SAN ANTONIO TX","43.05","debit","Restaurants","Signature Visa","",""
"10/11/2020","BIRD APP WWW.BIRD.CO CA","BIRD APP WWW.BIRD.CO CA","10.00","debit","Public Transportation","Signature Visa","",""
"10/11/2020","ROOFTOP CINEMA CLUB ROOFTOPCINEMANY","ROOFTOP CINEMA CLUB ROOFTOPCINEMANY","5.00","debit","Entertainment","Signature Visa","",""
"10/11/2020","Wal-Mart","WAL-MART #2599 SAN ANTONIO TX","5.49","debit","Shopping","Signature Visa","",""
"10/11/2020","BIRD APP 8662052442 CA","BIRD APP 8662052442 CA","10.00","debit","Public Transportation","Signature Visa","",""
"10/10/2020","EL REMEDIO MARISCOS YSan Antonio TX","SQ *EL REMEDIO MARISCOS YSan Antonio TX","32.48","debit","Restaurants","Signature Visa","",""
"10/10/2020","Wal-Mart","WAL-MART #2599 SAN ANTONIO TX","19.37","debit","Shopping","Signature Visa","",""
"10/09/2020","QuikTrip","QT 4012 INSIDE SAN ANTONIO TX","20.33","debit","Gas & Fuel","Signature Visa","",""
"10/08/2020","Tiff's Treats","TIFF'S TREATS SAN ANTO SAN ANTONIO TX","9.00","debit","Restaurants","Signature Visa","",""
"10/08/2020","H-E-B #395 SAN ANTONIO TX","H-E-B #395 SAN ANTONIO TX","21.63","debit","Groceries","Signature Visa","",""
"10/08/2020","H-E-B #395 SAN ANTONIO TX","H-E-B #395 SAN ANTONIO TX","88.22","debit","Groceries","Signature Visa","",""
